"","SUBJ_ID","AGE","GENDER","Major","Grade","TASK_ORDER","XP_CODING","SPSS_Time_sec","Task","Time","Motiv_4_Task","Motiv_Future_Pre","Motiv_Future_Post","Motiv_4_Future","Effort_Perceived"
"87","sub046",22.3568010936432,1,8,3,"1","1",255,"Jamovi",155,10,10,10,0,2
"88","sub046",22.3568010936432,1,8,3,"1","1",255,"R",253,8,9,10,1,1
"89","sub047",19.1332877648667,2,4,2,"0","0",162,"Jamovi",123,5,5,5,0,1
"90","sub047",19.1332877648667,2,4,2,"0","0",162,"R",218,5,5,5,0,2
"91","sub048",18.5071770334928,2,1,1,"1","1",200,"Jamovi",153,6,6,6,0,2
"92","sub048",18.5071770334928,2,1,1,"1","1",200,"R",214,8,7,6,-1,4
"93","sub049",18.6302118933698,2,1,1,"0","0",451,"Jamovi",157,7,6,5,-1,2
"94","sub049",18.6302118933698,2,1,1,"0","0",451,"R",291,5,4,5,1,5
"95","sub050",17.9166097060834,2,1,1,"1","0",200,"Jamovi",132,4,4,3,-1,2
"96","sub050",17.9166097060834,2,1,1,"1","0",200,"R",233,4,4,3,-1,4
"97","sub051",19.4176349965824,2,6,2,"0","0",145,"Jamovi",214,5,5,3,-2,4
"98","sub051",19.4176349965824,2,6,2,"0","0",145,"R",272,5,4,7,3,7
"99","sub052",18.5153793574846,2,1,1,"1","0",245,"Jamovi",262,6,NA,2,NA,3
"100","sub052",18.5153793574846,2,1,1,"1","0",245,"R",474,7,NA,2,NA,5
"101","sub053",19.4066985645933,2,4,2,"0","0",182,"Jamovi",153,8,10,9,-1,2
"102","sub053",19.4066985645933,2,4,2,"0","0",182,"R",225,8,9,9,0,3
"103","sub054",17.9931647300068,2,1,1,"1","0",244,"Jamovi",94,4,4,4,0,2
"104","sub054",17.9931647300068,2,1,1,"1","0",244,"R",231,6,4,3,-1,3
"105","sub055",19.6117566643882,1,6,2,"0","1",125,"Jamovi",83,5,3,6,3,4
"106","sub055",19.6117566643882,1,6,2,"0","1",125,"R",215,5,6,7,1,6
"107","sub056",20.6015037593985,2,1,2,"1","0",381,"Jamovi",263,6,7,5,-2,8
"108","sub056",20.6015037593985,2,1,2,"1","0",381,"R",600,7,4,5,1,9
"109","sub057",21.8455228981545,1,5,4,"0","1",224,"Jamovi",145,8,9,9,0,7
"110","sub057",21.8455228981545,1,5,4,"0","1",224,"R",215,6,6,8,2,6
"111","sub059",26.149008885851,2,1,3,"0","0",223,"Jamovi",160,9,7,8,1,2
"112","sub059",26.149008885851,2,1,3,"0","0",223,"R",306,6,7,8,1,5
"113","sub060",19.526999316473,2,8,2,"1","0",257,"Jamovi",171,10,10,10,0,10
"114","sub060",19.526999316473,2,8,2,"1","0",257,"R",437,9,9,10,1,10
"115","sub061",29.4791524265208,2,1,3,"0","1",340,"Jamovi",176,8,7,7,0,3
"116","sub061",29.4791524265208,2,1,3,"0","1",340,"R",313,7,7,8,1,5
"117","sub062",19.1004784688995,1,4,2,"1","0",116,"Jamovi",86,7,4,6,2,NA
"118","sub062",19.1004784688995,1,4,2,"1","0",116,"R",151,7,5,6,1,NA
"119","sub063",21.676008202324,1,6,4,"0","1",265,"Jamovi",169,8,7,7,0,1
"120","sub063",21.676008202324,1,6,4,"0","1",265,"R",600,8,7,6,-1,NA
"121","sub064",19.7621326042379,2,9,2,"1","1",189,"Jamovi",120,5,5,6,1,NA
"122","sub064",19.7621326042379,2,9,2,"1","1",189,"R",183,6,8,8,0,2
"123","sub065",18.6684894053315,1,1,1,"0","0",324,"Jamovi",213,2,7,8,1,4
"124","sub065",18.6684894053315,1,1,1,"0","0",324,"R",345,3,6,6,0,4
"125","sub066",18.8434723171565,1,5,2,"1","0",199,"Jamovi",101,5,2,2,0,3
"126","sub066",18.8434723171565,1,5,2,"1","0",199,"R",194,5,2,2,0,4
"127","sub067",17.9931647300068,2,1,1,"0","0",259,"Jamovi",193,7,5,5,0,3
"128","sub067",17.9931647300068,2,1,1,"0","0",259,"R",270,7,5,5,0,5
"129","sub068",18.971975393028,1,1,1,"1","1",134,"Jamovi",160,5,5,7,2,5
"130","sub068",18.971975393028,1,1,1,"1","1",134,"R",318,7,NA,7,NA,7
"131","sub069",19.4176349965824,1,4,2,"0","0",154,"Jamovi",142,10,4,5,1,1
"132","sub069",19.4176349965824,1,4,2,"0","0",154,"R",134,10,3,5,2,NA
"133","sub070",18.5372522214627,1,1,1,"1","0",253,"Jamovi",201,9,9,8,-1,5
"134","sub070",18.5372522214627,1,1,1,"1","0",253,"R",344,8,8,8,0,5
"135","sub071",18.4716336295284,2,1,1,"0","0",207,"Jamovi",183,6,6,5,-1,2
"136","sub071",18.4716336295284,2,1,1,"0","0",207,"R",299,6,7,5,-2,4
"137","sub072",18.7805878332194,1,1,1,"1","0",174,"Jamovi",97,5,3,NA,NA,3
"138","sub072",18.7805878332194,1,1,1,"1","0",174,"R",184,5,2,2,0,3
"139","sub073",19.1825017088175,2,2,1,"0","1",280,"Jamovi",217,5,6,6,0,5
"140","sub073",19.1825017088175,2,2,1,"0","1",280,"R",600,NA,NA,4,NA,NA
"141","sub074",20.6643882433356,1,4,3,"1","1",104,"Jamovi",80,8,5,6,1,1
"142","sub074",20.6643882433356,1,4,3,"1","1",104,"R",192,8,5,6,1,NA
"143","sub075",19.2262474367738,2,8,2,"0","0",231,"Jamovi",158,5,2,5,3,NA
"144","sub075",19.2262474367738,2,8,2,"0","0",231,"R",366,6,7,8,1,5
"145","sub076",18.1271360218729,2,1,1,"1","0",149,"Jamovi",121,7,7,7,0,4
"146","sub076",18.1271360218729,2,1,1,"1","0",149,"R",324,7,7,7,0,5
"147","sub077",18.4688995215311,1,1,1,"0","0",174,"Jamovi",130,8,7,6,-1,1
"148","sub077",18.4688995215311,1,1,1,"0","0",174,"R",185,8,6,6,0,2
"149","sub078",24.771018455229,1,1,2,"1","1",225,"Jamovi",157,6,NA,3,NA,NA
"150","sub078",24.771018455229,1,1,2,"1","1",225,"R",284,6,NA,2,NA,2
